,userId,itemId,rating
0,1,49,1
1,1,126,1
2,1,138,1
3,1,141,1
4,1,177,1
5,1,268,3
6,1,511,1
7,1,587,1
8,1,772,5
9,1,941,1
10,2,116,4
11,2,204,3
12,2,206,4
13,2,266,4
14,2,462,4
15,2,680,2
16,2,693,3
17,2,755,2
18,2,809,3
19,2,854,5
20,3,100,3
21,3,162,3
22,3,169,3
23,3,174,3
24,3,192,3
25,3,207,2
26,3,213,3
27,3,593,3
28,3,729,2
29,3,898,3
30,4,100,1
31,4,267,1
32,4,388,1
33,4,405,1
34,4,410,1
35,4,577,1
36,4,589,1
37,4,881,1
38,4,895,1
39,4,930,1
40,5,136,1
41,5,449,1
42,5,500,1
43,5,603,1
44,5,607,1
45,5,611,1
46,5,692,1
47,5,729,1
48,5,849,1
49,5,899,1
50,6,15,2
51,6,164,1
52,6,296,1
53,6,444,2
54,6,450,1
55,6,453,1
56,6,679,1
57,6,817,1
58,6,820,3
59,6,865,2
60,7,79,1
61,7,220,1
62,7,230,1
63,7,293,1
64,7,470,1
65,7,612,1
66,7,808,1
67,7,873,1
68,7,920,1
69,7,922,1
70,8,68,1
71,8,161,2
72,8,356,1
73,8,548,1
74,8,780,2
75,8,783,2
76,8,788,1
77,8,820,1
78,8,873,1
79,8,997,1
80,9,109,2
81,9,121,3
82,9,162,2
83,9,260,1
84,9,264,2
85,9,385,2
86,9,534,2
87,9,574,3
88,9,627,1
89,9,999,1
90,10,42,3
91,10,291,4
92,10,383,1
93,10,463,1
94,10,467,2
95,10,501,2
96,10,657,4
97,10,895,4
98,10,906,4
99,10,965,2
100,11,9,3
101,11,15,3
102,11,153,4
103,11,199,2
104,11,241,2
105,11,556,2
106,11,814,1
107,11,846,1
108,11,875,1
109,11,987,1
110,12,6,3
111,12,19,4
112,12,23,2
113,12,164,1
114,12,285,2
115,12,457,2
116,12,474,3
117,12,764,2
118,12,860,3
119,12,978,1
120,13,48,4
121,13,83,5
122,13,148,5
123,13,157,4
124,13,262,4
125,13,393,4
126,13,476,4
127,13,573,5
128,13,587,4
129,13,683,4
130,14,80,1
131,14,158,1
132,14,308,1
133,14,378,2
134,14,476,1
135,14,511,1
136,14,518,1
137,14,601,1
138,14,611,1
139,14,671,2
140,15,116,1
141,15,197,3
142,15,295,1
143,15,324,1
144,15,444,1
145,15,478,1
146,15,520,1
147,15,691,1
148,15,863,1
149,15,911,1
150,16,35,4
151,16,73,2
152,16,133,4
153,16,264,3
154,16,425,3
155,16,559,2
156,16,770,3
157,16,779,3
158,16,842,2
159,16,855,4
160,17,24,4
161,17,28,1
162,17,33,1
163,17,140,1
164,17,154,3
165,17,217,1
166,17,310,2
167,17,320,2
168,17,457,1
169,17,960,1
170,18,5,1
171,18,50,4
172,18,163,1
173,18,544,4
174,18,575,4
175,18,598,1
176,18,614,3
177,18,622,1
178,18,732,1
179,18,919,4
180,19,12,1
181,19,97,2
182,19,311,2
183,19,414,2
184,19,569,2
185,19,628,2
186,19,744,2
187,19,750,2
188,19,756,2
189,19,825,2
190,20,79,2
191,20,159,1
192,20,246,2
193,20,424,2
194,20,437,1
195,20,468,1
196,20,620,2
197,20,699,1
198,20,782,1
199,20,970,3
200,21,53,1
201,21,242,1
202,21,350,2
203,21,353,3
204,21,501,1
205,21,777,2
206,21,792,2
207,21,842,1
208,21,874,2
209,21,997,2
210,22,21,2
